season,id_season,id_comp,start_date,end_date,name
2026,292989,107,2026-09-01T00:00:00Z,2026-12-31T00:00:00Z,FIFA Intercontinental Cup 2026
2025,292073,107,2025-09-14T18:00:00Z,2025-12-17T00:00:00Z,FIFA Intercontinental Cup 2025
2024,290199,107,2024-09-22T16:00:00Z,2024-12-18T00:00:00Z,FIFA Intercontinental Cup 2024
2023,287833,107,2023-12-12T18:00:00Z,2023-12-22T00:00:00Z,FIFA Club World Cup Saudi Arabia 2023
2022,286466,107,2023-02-01T19:00:00Z,2023-02-11T00:00:00Z,FIFA Club World Cup Morocco 2022
2021,285345,107,2022-02-03T16:30:00Z,2022-02-12T00:00:00Z,FIFA Club World Cup UAE 2021
2020,284690,107,2021-02-01T17:30:00Z,2021-02-11T00:00:00Z,FIFA Club World Cup Qatar 2020
2019,283878,107,2019-12-11T17:30:00Z,2019-12-21T00:00:00Z,FIFA Club World Cup Qatar 2019
2018,276136,107,2018-12-12T15:30:00Z,2018-12-22T00:00:00Z,FIFA Club World Cup UAE 2018
2017,276118,107,2017-12-06T17:00:00Z,2017-12-16T00:00:00Z,FIFA Club World Cup UAE 2017
2016,276100,107,2016-12-08T10:30:00Z,2016-12-18T00:00:00Z,FIFA Club World Cup Japan 2016
2015,275724,107,2015-12-10T10:45:00Z,2015-12-20T00:00:00Z,FIFA Club World Cup Japan 2015
2014,259689,107,2014-12-10T19:30:00Z,2014-12-20T00:00:00Z,FIFA Club World Cup Morocco 2014
2013,259665,107,2013-12-11T19:30:00Z,2013-12-21T00:00:00Z,FIFA Club World Cup Morocco 2013
2012,258492,107,2012-12-06T10:45:00Z,2012-12-16T00:00:00Z,FIFA Club World Cup Japan 2012
2011,257425,107,2011-12-08T10:45:00Z,2011-12-18T00:00:00Z,FIFA Club World Cup Japan 2011
2010,254476,107,2010-12-08T16:00:00Z,2010-12-18T00:00:00Z,FIFA Club World Cup UAE 2010
2009,252901,107,2009-12-09T16:00:00Z,2009-12-19T00:00:00Z,FIFA Club World Cup UAE 2009
2008,250695,107,2008-12-11T10:45:00Z,2008-12-21T00:00:00Z,FIFA Club World Cup Japan 2008
2007,249926,107,2007-12-07T10:45:00Z,2007-12-16T00:00:00Z,FIFA Club World Cup Japan 2007
2006,248388,107,2006-12-10T10:20:00Z,2006-12-17T00:00:00Z,FIFA Club World Cup Japan 2006
2005,4735,107,2005-12-11T10:20:00Z,2005-12-18T00:00:00Z,FIFA Club World Championship Toyota Cup Japan 2005
2000,3692,107,2000-01-05T20:45:00Z,2000-01-14T00:00:00Z,FIFA Club World Championship Brazil 2000
