season,slug
2024/2025,esp-copa-del-rey-2024-2025
2023/2024,esp-copa-del-rey-2023-2024
2022/2023,esp-copa-del-rey-2022-2023
2021/2022,esp-copa-del-rey-2021-2022
2020/2021,esp-copa-del-rey-2020-2021
2019/2020,esp-copa-del-rey-2019-2020
2018/2019,esp-copa-del-rey-2018-2019
2017/2018,esp-copa-del-rey-2017-2018
2016/2017,esp-copa-del-rey-2016-2017
2015/2016,esp-copa-del-rey-2015-2016
2014/2015,esp-copa-del-rey-2014-2015
2013/2014,esp-copa-del-rey-2013-2014
2012/2013,esp-copa-del-rey-2012-2013
2011/2012,esp-copa-del-rey-2011-2012
2010/2011,esp-copa-del-rey-2010-2011
2009/2010,esp-copa-del-rey-2009-2010
2008/2009,esp-copa-del-rey-2008-2009
2007/2008,esp-copa-del-rey-2007-2008
2006/2007,esp-copa-del-rey-2006-2007
2005/2006,esp-copa-del-rey-2005-2006
2004/2005,esp-copa-del-rey-2004-2005
2003/2004,esp-copa-del-rey-2003-2004
2002/2003,esp-copa-del-rey-2002-2003
2001/2002,esp-copa-del-rey-2001-2002
2000/2001,esp-copa-del-rey-2000-2001
1999/2000,esp-copa-del-rey-1999-2000
1998/1999,esp-copa-del-rey-1998-1999
1997/1998,esp-copa-del-rey-1997-1998
1996/1997,esp-copa-del-rey-1996-1997
1995/1996,esp-copa-del-rey-1995-1996
1994/1995,esp-copa-del-rey-1994-1995
1993/1994,esp-copa-del-rey-1993-1994
1992/1993,esp-copa-del-rey-1992-1993
1991/1992,esp-copa-del-rey-1991-1992
1990/1991,esp-copa-del-rey-1990-1991
1989/1990,esp-copa-del-rey-1989-1990
1988/1989,esp-copa-del-rey-1988-1989
1987/1988,esp-copa-del-rey-1987-1988
1986/1987,esp-copa-del-rey-1986-1987
1985/1986,esp-copa-del-rey-1985-1986
1984/1985,esp-copa-del-rey-1984-1985
1983/1984,esp-copa-del-rey-1983-1984
1982/1983,esp-copa-del-rey-1982-1983
1981/1982,esp-copa-del-rey-1981-1982
1980/1981,esp-copa-del-rey-1980-1981
1979/1980,esp-copa-del-rey-1979-1980
1978/1979,esp-copa-del-rey-1978-1979
1977/1978,esp-copa-del-rey-1977-1978
1976/1977,esp-copa-del-rey-1976-1977
1975/1976,esp-copa-del-rey-1975-1976
1974/1975,esp-copa-del-rey-1974-1975
1973/1974,esp-copa-del-rey-1973-1974
1972/1973,esp-copa-del-rey-1972-1973
1971/1972,esp-copa-del-rey-1971-1972
1970/1971,esp-copa-del-rey-1970-1971
1969/1970,esp-copa-del-rey-1969-1970
1968/1969,esp-copa-del-rey-1968-1969
1967/1968,esp-copa-del-rey-1967-1968
1966/1967,esp-copa-del-rey-1966-1967
1965/1966,esp-copa-del-rey-1965-1966
1964/1965,esp-copa-del-rey-1964-1965
1963/1964,esp-copa-del-rey-1963-1964
1962/1963,esp-copa-del-rey-1962-1963
1961/1962,esp-copa-del-rey-1961-1962
1960/1961,esp-copa-del-rey-1960-1961
1959/1960,esp-copa-del-rey-1959-1960
1958/1959,esp-copa-del-rey-1958-1959
1957/1958,esp-copa-del-rey-1957-1958
1956/1957,esp-copa-del-rey-1956-1957
1955/1956,esp-copa-del-rey-1955-1956
1954/1955,esp-copa-del-rey-1954-1955
1953/1954,esp-copa-del-rey-1953-1954
1952/1953,esp-copa-del-rey-1952-1953
1951/1952,esp-copa-del-rey-1951-1952
1950/1951,esp-copa-del-rey-1950-1951
1949/1950,esp-copa-del-rey-1949-1950
1948/1949,esp-copa-del-rey-1948-1949
1947/1948,esp-copa-del-rey-1947-1948
1946/1947,esp-copa-del-rey-1946-1947
1945/1946,esp-copa-del-rey-1945-1946
1944/1945,esp-copa-del-rey-1944-1945
1943/1944,esp-copa-del-rey-1943-1944
1942/1943,esp-copa-del-rey-1942-1943
1941/1942,esp-copa-del-rey-1941-1942
1940/1941,esp-copa-del-rey-1940-1941
1939/1940,esp-copa-del-rey-1939-1940
1938/1939,esp-copa-del-rey-1938-1939
1935/1936,esp-copa-del-rey-1935-1936
1934/1935,esp-copa-del-rey-1934-1935
1933/1934,esp-copa-del-rey-1933-1934
1932/1933,esp-copa-del-rey-1932-1933
1931/1932,esp-copa-del-rey-1931-1932
1930/1931,esp-copa-del-rey-1930-1931
1929/1930,esp-copa-del-rey-1929-1930
1928/1929,esp-copa-del-rey-1928-1929
1927/1928,esp-copa-del-rey-1927-1928
1926/1927,esp-copa-del-rey-1926-1927
1925/1926,esp-copa-del-rey-1925-1926
1924/1925,esp-copa-del-rey-1924-1925
1923/1924,esp-copa-del-rey-1923-1924
1922/1923,esp-copa-del-rey-1922-1923
1921/1922,esp-copa-del-rey-1921-1922
1920/1921,esp-copa-del-rey-1920-1921
1919/1920,esp-copa-del-rey-1919-1920
1918/1919,esp-copa-del-rey-1918-1919
1917/1918,esp-copa-del-rey-1917-1918
1916/1917,esp-copa-del-rey-1916-1917
1915/1916,esp-copa-del-rey-1915-1916
1914/1915,esp-copa-del-rey-1914-1915
1913/1914,esp-copa-del-rey-1913-1914
1912/1913,esp-copa-del-rey-1912-1913
1911/1912,esp-copa-del-rey-1911-1912
1910/1911,esp-copa-del-rey-1910-1911
1907/1908,esp-copa-del-rey-1907-1908
1906/1907,esp-copa-del-rey-1906-1907
1905/1906,esp-copa-del-rey-1905-1906
1904/1905,esp-copa-del-rey-1904-1905
1902/1903,esp-copa-del-rey-1902-1903
1901/1902,esp-copa-del-rey-1901-1902
